name,party,state,district,legislature,profile_link
63 Esquivel Nava María Magdalena Olivia,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=460
64 Fletes Araiza José Guadalupe,MORENA,Jalisco,Dtto. 18,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=123
65 Flores Galindo Ana Lilia,MORENA,Ciudad de México,Dtto. 19,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=556
66 Flores Pacheco José Luis,MORENA,Campeche,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=14
67 Flores Sánchez Marco Antonio,MORENA,Zacatecas,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=380
68 García Almaguer Hamlet ,MORENA,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=340
69 García Anaya Lidia,MORENA,Hidalgo,Dtto. 6,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=104
70 García García José Antonio,MORENA,México,Dtto. 18,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=143
71 García Molina Natalia,MORENA,Veracruz,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=779
72 García Montiel Otoniel ,MORENA,Hidalgo,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=498
73 García Moreno Maria Clemente,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=456
74 García Ponce Brissa,MORENA,México,Dtto. 23,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=648
75 García Sandoval Zeus ,MORENA,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=419
76 García Segura Marisol ,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=446
77 Girón Hernández Olimpia Tamara,MORENA,México,Dtto. 13,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=138
78 Godoy Rangel Leonel,MORENA,Michoacán,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=167
79 González Cruz Alfredo Aurelio,MORENA,Oaxaca,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=409
80 González Santiago Fidel,MORENA,Veracruz,Dtto. 20,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=791
81 Guerrero Márquez Antolín,MORENA,San Luis Potosí,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=236
82 Gutiérrez Calderón Abraham,MORENA,Chiapas,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=523
83 Gutiérrez Camacho Oscar Eugenio,MORENA,Ciudad de México,Dtto. 13,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=50
84 Gutiérrez Gutiérrez Daniel,MORENA,Oaxaca,Dtto. 10,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=208
85 Gutiérrez Luna Sergio Carlos,MORENA,México,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=488
86 Hernández Espejo Rosa,MORENA,Veracruz,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=275
87 Hernandez Godinez Mayra Alejandra,MORENA,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=833
88 Hernández Hernández Saúl,MORENA,San Luis Potosí,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=374
89 Hernández Pérez María Eugenia,MORENA,México,Dtto. 11,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=136
